UNITID,ROOM,XROOMCAP,ROOMCAP,ALLONCAM,TUITVARY,BOARD,XMEALSWK,MEALSWK,XAPPFEEU,APPLFEEU,APPFEEUW,XAPPFEEG,APPLFEEG,APPFEEGW,XAPPFEED,APPLFEED,APPFEEDW,PRMPGM,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,FAFSAQ1,FAFSAQ2,FAFQ2URL,PRGMOFR,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XHRCHF1,HRCHF1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XHRCHF2,HRCHF2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XHRCHF3,HRCHF3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XHRCHF5,HRCHF5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XHRCHF6,HRCHF6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XHRCHF7,HRCHF7,XISPRO1,ISPROF1,XISPFE1,ISPFEE1,XOSPRO1,OSPROF1,XOSPFE1,OSPFEE1,XISPRO2,ISPROF2,XISPFE2,ISPFEE2,XOSPRO2,OSPROF2,XOSPFE2,OSPFEE2,XISPRO3,ISPROF3,XISPFE3,ISPFEE3,XOSPRO3,OSPROF3,XOSPFE3,OSPFEE3,XISPRO4,ISPROF4,XISPFE4,ISPFEE4,XOSPRO4,OSPROF4,XOSPFE4,OSPFEE4,XISPRO5,ISPROF5,XISPFE5,ISPFEE5,XOSPRO5,OSPROF5,XOSPFE5,OSPFEE5,XISPRO6,ISPROF6,XISPFE6,ISPFEE6,XOSPRO6,OSPROF6,XOSPFE6,OSPFEE6,XISPRO7,ISPROF7,XISPFE7,ISPFEE7,XOSPRO7,OSPROF7,XOSPFE7,OSPFEE7,XISPRO8,ISPROF8,XISPFE8,ISPFEE8,XOSPRO8,OSPROF8,XOSPFE8,OSPFEE8,XISPRO9,ISPROF9,XISPFE9,ISPFEE9,XOSPRO9,OSPROF9,XOSPFE9,OSPFEE9,XCHG1AT0,CHG1AT0,XCHG1AF0,CHG1AF0,XCHG1AY0,CHG1AY0,XCHG1AT1,CHG1AT1,XCHG1AF1,CHG1AF1,XCHG1AY1,CHG1AY1,XCHG1AT2,CHG1AT2,XCHG1AF2,CHG1AF2,XCHG1AY2,CHG1AY2,XCHG1AT3,CHG1AT3,XCHG1AF3,CHG1AF3,XCHG1AY3,CHG1AY3,CHG1TGTD,CHG1FGTD,XCHG2AT0,CHG2AT0,XCHG2AF0,CHG2AF0,XCHG2AY0,CHG2AY0,XCHG2AT1,CHG2AT1,XCHG2AF1,CHG2AF1,XCHG2AY1,CHG2AY1,XCHG2AT2,CHG2AT2,XCHG2AF2,CHG2AF2,XCHG2AY2,CHG2AY2,XCHG2AT3,CHG2AT3,XCHG2AF3,CHG2AF3,XCHG2AY3,CHG2AY3,CHG2TGTD,CHG2FGTD,XCHG3AT0,CHG3AT0,XCHG3AF0,CHG3AF0,XCHG3AY0,CHG3AY0,XCHG3AT1,CHG3AT1,XCHG3AF1,CHG3AF1,XCHG3AY1,CHG3AY1,XCHG3AT2,CHG3AT2,XCHG3AF2,CHG3AF2,XCHG3AY2,CHG3AY2,XCHG3AT3,CHG3AT3,XCHG3AF3,CHG3AF3,XCHG3AY3,CHG3AY3,CHG3TGTD,CHG3FGTD,XCHG4AY0,CHG4AY0,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY0,CHG5AY0,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY0,CHG6AY0,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY0,CHG7AY0,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY0,CHG8AY0,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG10AY0,CHG10AY0,XCHG10AY1,CHG10AY1,XCHG10AY2,CHG10AY2,XCHG10AY3,CHG10AY3,XCHG9AY0,CHG9AY0,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG10PY0,CHG10PY0,XCHG10PY1,CHG10PY1,XCHG10PY2,CHG10PY2,XCHG10PY3,CHG10PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6
217475,2,A,,2,1,3,A,,A,,-2,A,,-2,A,,-2,1,1,0,0,1,0,2,2,,-2,A,,A,,A,,R,5074,R,476,R,231,R,47,R,5074,R,476,R,231,R,47,R,14358,R,476,R,687,R,47,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,4524,R,456,R,4980,R,4624,R,466,R,5090,R,4856,R,470,R,5326,R,5074,R,476,R,5550,,,R,4524,R,456,R,4980,R,4624,R,466,R,5090,R,4856,R,470,R,5326,R,5074,R,476,R,5550,,,R,12804,R,456,R,13260,R,13086,R,466,R,13552,R,13740,R,470,R,14210,R,14358,R,476,R,14834,,,R,1460,R,1460,R,1200,R,1200,A,,A,,A,,A,,A,,A,,A,,A,,R,11322,R,12794,R,14457,R,15426,R,4240,R,4052,R,5156,R,4474,A,,A,,A,,R,7104,R,4240,R,4052,R,5156,R,4474,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
217484,1,R,6086,2,1,1,R,99,R,65,1,R,103,1,R,103,1,1,1,0,0,1,0,2,2,,-2,R,8980,R,6100,A,,R,14630,R,2312,R,610,R,123,R,14630,R,2312,R,610,R,123,R,34834,R,2312,R,1451,R,123,R,15964,R,2064,R,887,R,96,R,15964,R,2064,R,887,R,96,R,31084,R,2064,R,1727,R,96,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,R,14630,R,5562,R,34834,R,5562,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,R,13250,R,2082,R,15332,R,13586,R,2294,R,15880,R,14116,R,2292,R,16408,R,14630,R,2312,R,16942,,,R,13250,R,2082,R,15332,R,13586,R,2294,R,15880,R,14116,R,2292,R,16408,R,14630,R,2312,R,16942,,,R,31272,R,2082,R,33354,R,32068,R,2294,R,34362,R,33512,R,2292,R,35804,R,34834,R,2312,R,37146,,,R,1250,R,1250,R,1250,R,1250,R,13618,R,13584,R,14900,R,15607,R,2496,R,2436,R,2436,R,2678,R,10486,R,11386,R,12286,R,12888,R,4546,R,4582,R,4582,R,5392,A,,A,,A,,R,3750,R,9378,R,9640,R,9640,R,11792,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
217493,1,R,1452,2,2,1,R,21,R,60,1,R,60,1,A,,-2,2,1,0,0,1,0,2,1,www.risd.edu/student-financial-services/undergraduate-aid,-2,R,9830,R,6796,A,,R,61564,R,1124,A,,A,,R,61564,R,1124,A,,A,,R,61564,R,1124,A,,A,,R,61564,R,1124,A,,A,,R,61564,R,1124,A,,A,,R,61564,R,1124,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,55220,R,1070,R,56290,R,56435,R,1070,R,57505,R,58690,R,1070,R,59760,R,61564,R,1124,R,62688,,,R,55220,R,1070,R,56290,R,56435,R,1070,R,57505,R,58690,R,1070,R,59760,R,61564,R,1124,R,62688,,,R,55220,R,1070,R,56290,R,56435,R,1070,R,57505,R,58690,R,1070,R,59760,R,61564,R,1124,R,62688,,,R,2700,R,2700,R,2700,R,3000,R,14790,R,15234,R,15850,R,16626,R,3500,R,3500,R,3500,R,3672,R,14790,R,15234,R,15850,R,16626,R,3500,R,3500,R,3500,R,4718,A,,A,,A,,R,6796,R,4500,R,4500,R,4500,R,4718,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
217518,1,R,2962,2,2,2,A,,R,55,1,R,50,1,A,,-2,2,1,0,0,1,1,2,2,,-2,R,9484,R,7628,A,,R,44867,R,330,R,1841,R,330,R,44867,R,330,R,1841,R,330,R,44867,R,330,R,1841,R,330,R,20355,R,950,R,871,R,160,R,20355,R,950,R,871,R,160,R,20355,R,950,R,871,R,160,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,39264,R,330,R,39594,R,40632,R,330,R,40962,R,42336,R,330,R,42666,R,44088,R,330,R,44418,,,R,39264,R,330,R,39594,R,40632,R,330,R,40962,R,42336,R,330,R,42666,R,44088,R,330,R,44418,,,R,39264,R,330,R,39594,R,40632,R,330,R,40962,R,42336,R,330,R,42666,R,44088,R,330,R,44418,,,R,900,R,900,R,900,R,900,R,16012,R,16294,R,16690,R,17112,R,3350,R,3450,R,3350,R,4509,R,12360,R,12730,R,15280,R,13070,R,2920,R,3008,R,2920,R,4469,A,,A,,A,,R,4090,R,3104,R,2894,R,3104,R,4339,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
217536,1,R,1302,2,2,2,A,,R,50,1,A,,-2,A,,-2,2,1,0,0,1,0,2,2,,-2,R,10770,R,7780,A,,R,49300,R,800,R,1643,R,150,R,49300,R,800,R,1643,R,150,R,49300,R,800,R,1643,R,150,R,13140,R,225,R,730,R,225,R,13140,R,225,R,730,R,225,R,13140,R,225,R,730,R,225,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,43500,R,700,R,44200,R,45250,R,750,R,46000,R,47180,R,750,R,47930,R,49300,R,800,R,50100,,,R,43500,R,700,R,44200,R,45250,R,750,R,46000,R,47180,R,750,R,47930,R,49300,R,800,R,50100,,,R,43500,R,700,R,44200,R,45250,R,750,R,46000,R,47180,R,750,R,47930,R,49300,R,800,R,50100,,,R,1500,R,1550,R,1600,R,1600,R,15870,R,16500,R,17500,R,18550,R,3570,R,3730,R,3886,R,3886,R,11520,R,11870,R,13170,R,15340,R,3570,R,3730,R,3886,R,3886,A,,A,,A,,R,9892,R,3770,R,3930,R,4086,R,4086,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
217581,2,A,,2,-2,3,A,,R,100,0,A,,-2,A,,-2,2,1,0,0,1,0,2,2,,3,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,12.0401,A,,A,,R,1000,1,R,7,R,29,R,900,R,26,R,17250,R,17250,R,17250,R,15000,R,2750,R,2750,R,2750,R,2750,A,,A,,A,,A,,A,,A,,A,,A,,R,6844,R,7214,R,7910,R,8461,R,5829,R,6395,R,7018,R,7207,A,,A,,A,,R,4517,R,5829,R,6395,R,7018,R,7207,12.0413,R,3300,R,499,R,300,1,R,3,12.0409,R,9498,R,1400,R,600,1,R,5,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
217606,1,R,400,2,2,1,R,19,R,25,1,R,50,1,A,,-2,2,1,0,0,1,0,2,2,,-2,R,6966,R,4836,A,,R,12750,R,1410,R,425,R,1410,R,12750,R,1410,R,425,R,1410,R,12750,R,1410,R,425,R,1410,A,,A,,R,490,R,964,A,,A,,R,490,R,964,A,,A,,R,490,R,964,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,12300,R,1370,R,13670,R,12750,R,1410,R,14160,R,12750,R,1410,R,14160,R,12750,R,1410,R,14160,,,R,12300,R,1370,R,13670,R,12750,R,1410,R,14160,R,12750,R,1410,R,14160,R,12750,R,1410,R,14160,,,R,12300,R,1370,R,13670,R,12750,R,1410,R,14160,R,12750,R,1410,R,14160,R,12750,R,1410,R,14160,,,R,1800,R,1800,R,1800,R,1800,R,11268,R,11802,R,11802,R,11802,R,4500,R,4500,R,4500,R,4500,R,16000,R,16100,R,16100,R,16100,R,6000,R,6000,R,6000,R,6000,A,,A,,A,,R,6823,R,4500,R,4500,R,4500,R,4500,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
217615,2,A,,2,1,3,A,,A,,-2,A,,-2,A,,-2,2,1,0,0,1,0,2,2,,-2,A,,A,,A,,R,4704,R,470,R,196,R,235,R,5640,R,532,R,235,R,266,R,7392,R,532,R,308,R,266,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,4536,R,410,R,4946,R,4536,R,410,R,4946,R,4536,R,508,R,5044,R,4704,R,470,R,5174,,,R,4896,R,410,R,5306,R,4896,R,410,R,5306,R,4896,R,508,R,5404,R,5640,R,532,R,6172,,,R,6408,R,472,R,6880,R,6408,R,472,R,6880,R,6408,R,508,R,6916,R,7392,R,532,R,7924,,,R,1500,R,1500,R,1500,R,1020,A,,A,,A,,A,,A,,A,,A,,A,,R,6750,R,7650,R,7650,R,10800,R,3400,R,3700,R,3700,R,4515,A,,A,,A,,R,4500,R,3400,R,3700,R,3700,R,4515,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
217624,1,R,420,2,2,1,R,19,A,,-2,A,,-2,A,,-2,2,1,0,0,1,0,2,2,,-2,A,,A,,R,8584,R,12540,R,1764,R,500,R,1764,R,12540,R,1764,R,500,R,1764,R,12540,R,1764,R,500,R,1764,R,8100,R,1700,R,500,R,1764,R,8100,R,1700,R,500,R,1764,R,8100,R,1700,R,500,R,1764,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,12540,R,800,R,13340,R,12540,R,882,R,13422,R,12540,R,1764,R,14304,R,12540,R,1764,R,14304,,,R,12540,R,800,R,13340,R,12540,R,882,R,13422,R,12540,R,1764,R,14304,R,12540,R,1764,R,14304,,,R,12540,R,800,R,13340,R,12540,R,882,R,13422,R,12540,R,1764,R,14304,R,12540,R,1764,R,14304,,,R,1308,R,1000,R,1308,R,1308,R,7894,R,8584,R,8584,R,8584,R,2500,R,2000,R,2500,R,2500,R,7894,R,6000,R,6000,R,6000,R,2500,R,2000,R,3000,R,3000,A,,A,,A,,R,1000,R,3000,R,3500,R,3500,R,3500,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
217633,1,R,2180,2,2,2,A,,R,40,1,R,40,1,R,40,1,2,1,0,0,1,0,2,2,,-2,R,6507,R,6200,A,,R,34020,R,950,R,1145,R,600,R,34020,R,950,R,1145,R,600,R,34020,R,950,R,1145,R,600,R,13039,R,720,R,585,R,360,R,13039,R,720,R,585,R,360,R,13039,R,720,R,585,R,360,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,27480,R,3240,R,30720,R,30860,R,860,R,31720,R,32710,R,870,R,33580,R,34020,R,950,R,34970,,,R,27480,R,3240,R,30720,R,30860,R,860,R,31720,R,32710,R,870,R,33580,R,34020,R,950,R,34970,,,R,27480,R,3240,R,30720,R,30860,R,860,R,31720,R,32710,R,870,R,33580,R,34020,R,950,R,34970,,,R,1200,R,1200,R,600,R,600,R,10900,R,11230,R,12290,R,12720,R,3864,R,4092,R,4560,R,4593,R,10900,R,10830,R,12290,R,12720,R,5488,R,5812,R,6430,R,6523,A,,A,,A,,R,4198,R,5488,R,5812,R,6430,R,6523,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
217688,1,R,1495,2,2,2,A,,R,25,1,R,40,1,R,50,1,1,1,0,0,1,0,2,2,,-2,A,,A,,R,12200,R,31870,R,650,R,515,R,250,R,31870,R,650,R,515,R,250,R,31870,R,650,R,515,R,250,R,20000,R,250,R,625,R,250,R,20000,R,250,R,625,R,250,R,20000,R,250,R,625,R,250,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,28630,R,300,R,28930,R,29490,R,500,R,29990,R,30380,R,650,R,31030,R,31870,R,650,R,32520,,,R,28630,R,300,R,28930,R,29490,R,500,R,29990,R,30380,R,650,R,31030,R,31870,R,650,R,32520,,,R,28630,R,300,R,28930,R,29490,R,500,R,29990,R,30380,R,650,R,31030,R,31870,R,650,R,32520,,,A,,A,,A,,R,0,R,11032,R,11250,R,11590,R,12200,R,4460,R,4460,R,4600,R,3070,R,8670,R,8670,R,8930,R,9850,R,4900,R,4900,R,5060,R,4370,A,,A,,A,,R,4950,R,4900,R,4900,R,5060,R,3870,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
217712,2,A,,2,1,3,A,,A,,-2,A,,-2,A,,-2,2,1,0,0,1,0,2,1,https://www.tcl.edu/financial-aid-tuition/financial-aid/financial-aid-process/,-2,A,,A,,A,,R,5328,R,828,R,222,R,564,R,5928,R,828,R,247,R,564,R,11088,R,828,R,462,R,564,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,4800,R,340,R,5140,R,5136,R,340,R,5476,R,5136,R,364,R,5500,R,5328,R,828,R,6156,,,R,5400,R,340,R,5740,R,5736,R,340,R,6076,R,5736,R,364,R,6100,R,5928,R,828,R,6756,,,R,10680,R,340,R,11020,R,10680,R,340,R,11020,R,10680,R,364,R,11044,R,11088,R,828,R,11916,,,R,1240,R,1240,R,1300,R,1300,A,,A,,A,,A,,A,,A,,A,,A,,R,6600,R,6800,R,23382,R,23382,R,4870,R,4870,R,4928,R,4928,A,,A,,A,,R,15669,R,4870,R,4870,R,4928,R,4928,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
217721,1,R,1436,2,2,2,A,,R,25,0,R,25,0,A,,-2,2,2,0,0,0,0,2,2,,-2,A,,A,,R,7146,R,15708,R,2040,R,536,R,68,R,15708,R,2040,R,536,R,68,R,15708,R,2040,R,536,R,68,R,12362,R,2040,A,,A,,R,12362,R,2040,A,,A,,R,12362,R,2040,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,14600,R,2600,R,17200,R,14600,R,2600,R,17200,R,15400,R,2600,R,18000,R,15400,R,2040,R,17440,,,R,14600,R,2600,R,17200,R,14600,R,2600,R,17200,R,15400,R,2600,R,18000,R,15400,R,2040,R,17440,,,R,14600,R,2600,R,17200,R,14600,R,2600,R,17200,R,15400,R,2600,R,18000,R,15400,R,2040,R,17440,,,R,1000,R,1000,R,1600,R,1600,R,6600,R,6600,R,7000,R,7146,R,5200,R,5200,R,5400,R,5406,R,6600,R,6600,R,7000,R,7146,R,5200,R,5200,R,5400,R,5406,A,,A,,A,,R,7146,R,5200,R,5200,R,5400,R,5406,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
